round,games,winrate,pval,n_steps,loss,value_loss,entropy,mean_value,grad_norm,diverged,ret_pos,onnx_decisions
0,108,0.60185,0.017132,4784,0.61562,1.0948,0.8286,-0.7218,16.601,0,11,7194
1,108,0.44444,0.87589,4973,7.7498e+05,0.80915,0.17694,0.8661,1499.6,0,15,6915
2,108,0.44444,0.87589,4894,1.0683e+05,1.0163,0.53486,0.60727,1244.9,0,14,5960
3,108,0.25926,1,4768,1.9249e+05,1.2363,0.27997,0.82215,13.921,0,13,6969
4,108,0.53704,0.22071,4574,9795.7,0.85877,0.66421,-0.68772,1.889e+06,0,5,5906
5,108,0.68519,5.93e-05,4158,0.060316,0.12923,1.0481,0.39469,3.2408,0,14,6808
6,108,0.62963,0.0035268,4408,0.61849,0.39376,0.54976,0.73877,17.366,0,17,4772
7,108,0.37037,0.99647,4223,2.0338,0.23888,0.89484,0.64421,64.174,0,12,7737
8,108,0.21296,1,4667,7.8622e+05,0.37046,0.53461,-0.38248,47.252,0,10,6519
9,108,0.39815,0.98287,4652,39.9,0.75316,0.63628,0.0002976,11.695,0,4,6552
10,108,0.47222,0.71815,4201,55237,0.8647,0.55097,-0.573,19.964,0,12,6838
11,108,0.31481,0.99994,4629,4.5965e+05,1.2531,0.25236,0.96331,6.8304,0,15,6529
